"","ensembl_gene_id","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","FBgn0000043","Act42A",31162.1624470633,0.61968010373512,0.123655354763816,5.01134871933948,5.40498656727465e-07,1.87186745538549e-05
"2","FBgn0000064","Ald1",7917.1647758766,0.299639996887995,0.104167168382723,2.87653011539183,0.00402073826609797,0.0416536556343227
"3","FBgn0000071","Ama",342.246487725455,2.67972516999416,0.182417472140787,14.690068547414,7.46382575626264e-49,6.95048040702635e-46
"4","FBgn0000078","Amy-d",29.0159476197304,-1.02029911580033,0.396151987458765,-2.57552441512497,0.0100088206795524,0.0854215133557315
"5","FBgn0000079","Amy-p",159.517803392293,-1.06713405243371,0.351709888466839,-3.03413150277212,0.00241229254604283,0.0275066990862381
"6","FBgn0000116","Argk",658.401186017792,1.29088453773629,0.189493242192418,6.81229854321388,9.60515130375837e-12,7.74045894969221e-10
"7","FBgn0000139","ash2",647.185703924521,-0.4032167835449,0.113044578881911,-3.56688297247857,0.000361252711290669,0.0058224211025521
"8","FBgn0000146","aub",1576.30805874511,0.490249416618768,0.100527440411838,4.87677209934252,1.07835901797125e-06,3.54420663906549e-05
"9","FBgn0000147","aurA",415.444890279629,0.419777842046449,0.139918457336771,3.00016059379558,0.00269837295139238,0.0302340423871919
"10","FBgn0000244","by",510.181336818746,-0.397699090274444,0.134242030573315,-2.96255270108749,0.00305099575442386,0.0332514894900212
"11","FBgn0000256","capu",2184.38418658361,-0.450713777544374,0.129875765044174,-3.47034550588461,0.00051978927110226,0.00794955087793438
"12","FBgn0000286","Cf2",484.866177021058,-0.53141489425525,0.131940454968196,-4.02768729563155,5.63281917309417e-05,0.00119818927638838
"13","FBgn0000299","Col4a1",50847.9195970174,0.63656283354462,0.13287332060085,4.79074979586646,1.66159220068096e-06,5.21565701644462e-05
"14","FBgn0000346","comt",94.0122418329444,0.641532763810894,0.217799295001072,2.94552268320124,0.00322409506712627,0.0347762429312551
"15","FBgn0000392","cup",1080.22501007295,0.465970979900308,0.109975442571808,4.2370457349699,2.26480016851865e-05,0.000547011245312819
"16","FBgn0000405","CycB",2318.16095763606,0.526752737355733,0.119784332741554,4.39750946805583,1.09500109546821e-05,0.000290417853832882
"17","FBgn0000406","Cyt-b5-r",265.504534086402,-2.03311982892389,0.278080211296607,-7.31127115965586,2.64626897952687e-13,2.67209401414635e-11
"18","FBgn0000416","Sap-r",38598.0769091585,-0.370406241317819,0.0771621565512692,-4.80036144494884,1.5837952035493e-06,5.00897645318744e-05
"19","FBgn0000447","Dhod",619.766706055603,0.527257917860772,0.119214991096694,4.42274845646817,9.74531794933277e-06,0.000260944120553859
"20","FBgn0000490","dpp",200.715975283772,0.863214437536077,0.204873273721856,4.21340676533539,2.51547450375806e-05,0.000594661326171299
"21","FBgn0000524","dx",891.43494654168,0.331399462212333,0.118715342596033,2.79154703145679,0.00524567335794167,0.0519055353163035
"22","FBgn0000527","e",136.818365835816,-0.578807129597227,0.208652919132326,-2.77401884432852,0.00553684708640876,0.0538251481444863
"23","FBgn0000535","eag",177.570397557396,-0.712007148712616,0.235946183995456,-3.01766757425638,0.00254728162361156,0.0288107520748833
"24","FBgn0000547","ed",341.819532101959,0.531569450837022,0.200295713656932,2.65392324744152,0.00795619216747948,0.0716228212198126
"25","FBgn0000565","MsrA",602.091318890895,0.74379642450309,0.181058283124718,4.10804969353842,3.99014263949843e-05,0.000885351608205256
"26","FBgn0000567","Eip74EF",261.174489927451,-1.22632935219436,0.16939024687869,-7.23966919460601,4.49780451362984e-13,4.43483525043902e-11
"27","FBgn0000578","ena",5449.5202851932,-0.325562651938706,0.113015780396391,-2.8806831293544,0.0039681435612619,0.0412106706157819
"28","FBgn0000579","Eno",8747.49602754771,0.468971003488422,0.133804195194194,3.50490508020164,0.000456770104033805,0.00711600758676249
"29","FBgn0000633","CG17716",24.6652246086759,1.06714253945842,0.381394159908475,2.79800440498226,0.00514194113888067,0.0510599628968707
"30","FBgn0000826","png",125.67315413373,0.598492764504391,0.203544672751394,2.94035091370522,0.00327840726588176,0.0353166212022559
"31","FBgn0000928","fs(1)Yb",677.617319236748,0.470133176318103,0.133238714013026,3.52850280641513,0.000417917515754479,0.00659617080892333
"32","FBgn0001091","Gapdh1",4323.52854773218,0.708013227223594,0.15903199449076,4.45201752949611,8.5067219532134e-06,0.000236075618178416
"33","FBgn0001092","Gapdh2",9128.39640147106,0.375070279697669,0.148655763041862,2.52307930767573,0.0116332161564677,0.0951284074716657
"34","FBgn0001114","Glt",39030.5141530254,-0.522620677092146,0.123601782345082,-4.22826165753052,2.35503816080473e-05,0.000563930709305842
